ENVIRONMENTAL PROTECTION DEPARTMENT,,,,,,,,,,,,,,,
"HONG KONG SPECIAL ADMINISTRATIVE REGION, CHINA",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Hourly API (1 July 1999 - 31 July 1999),,,,,,,,,,,,,,,
Note: 1. The EPD has been reporting API for individual stations on an hourly basis since 1 July 1999.,,,,,,,,,,,,,,,
           2. Empty cells mean that API data are not available for that period.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Roadside API,,,General API,,,,,,,,,,
Date,Hour,Causeway Bay,Central,Mong Kok,Central/Western,Eastern,Kwai Chung,Kwun Tong,Sha Tin,Sham Shui Po,Tai Po,Tap Mun,Tsuen Wan,Tung Chung,Yuen Long
,5,72,62,53,37,,56,48,35,46,47,29,40,,
,6,72,62,53,36,,56,46,34,46,47,28,40,,
,7,72,61,53,36,,55,45,34,44,47,28,39,,
,8,72,60,53,35,,53,44,33,41,46,28,38,,
,9,71,59,52,35,,51,44,31,40,45,28,37,,
,10,72,57,52,34,,50,44,30,38,44,27,36,,
,11,72,57,52,33,,49,44,30,38,43,26,35,,
,12,72,57,52,33,,48,42,,38,41,,35,30,
,13,72,57,51,32,,47,39,,37,40,25,35,29,
,14,72,55,50,30,,46,38,,,38,24,34,27,
,15,72,54,48,29,,44,36,,,36,23,34,28,
,16,73,53,48,28,,43,34,,,35,21,33,23,
,17,74,52,48,28,,42,33,,,33,18,33,23,
,18,74,51,47,27,,41,32,,,32,17,32,22,
,19,74,51,47,27,,40,31,,,31,16,32,22,
,20,75,51,46,27,,39,31,,,29,16,31,22,
,21,75,51,46,27,,39,30,,,28,16,32,22,
,22,76,,46,26,,38,30,,,27,16,32,22,
,23,77,,45,26,,37,29,,,26,16,32,21,
30/07/1999,0,78,,45,26,,37,29,,,25,16,32,21,
,1,78,,45,26,,37,28,,,24,16,32,21,
,2,78,,45,27,,36,28,,,24,17,33,22,
,3,79,,46,27,,35,27,,,23,17,33,22,
,4,79,,46,27,,35,27,,,23,17,33,22,
,5,79,,46,28,,34,27,,,23,18,33,23,
,6,79,,46,28,22,34,28,,34,23,18,34,23,35
,7,79,,46,28,22,33,28,,34,23,18,34,23,36
,8,80,,44,29,23,33,28,26,34,23,18,34,23,36
,9,78,,42,29,23,32,28,25,35,23,18,33,22,35
,10,77,,41,28,23,31,28,25,35,23,18,33,22,35
,11,78,,40,28,23,30,27,24,35,23,21,32,22,
,12,77,,40,28,23,29,27,24,34,23,24,31,21,33
,13,77,,40,28,23,27,28,24,34,23,23,30,20,33
,14,76,,40,28,22,27,28,24,34,23,22,30,20,33
,15,76,,40,28,22,27,28,23,34,22,22,29,19,32
,16,76,,40,28,22,27,28,23,34,22,23,29,19,32
,17,76,,40,27,22,27,28,23,33,22,19,28,19,32
,18,75,,39,27,22,27,28,22,33,22,,28,19,31
,19,75,,39,26,22,27,28,22,33,22,18,28,18,30
,20,75,,38,26,21,27,28,21,32,22,17,27,18,30
,21,74,,38,26,21,27,28,21,32,21,17,27,18,28
,22,74,,38,26,21,27,28,20,32,20,16,27,18,28
,23,74,,38,26,21,27,28,20,31,20,16,26,18,27
31/07/1999,0,73,,38,26,21,26,27,20,31,20,16,26,18,27
,1,73,,38,25,20,26,27,19,31,19,15,26,18,26
,2,73,42,37,25,20,26,27,19,31,19,17,25,20,26
,3,73,42,37,25,20,26,28,18,30,18,16,25,21,26
,4,73,41,37,24,19,26,28,18,30,18,17,24,22,26
,5,73,40,37,24,19,25,28,17,30,18,15,24,22,25
,6,73,39,36,24,19,26,28,17,29,17,15,24,22,25
,7,73,39,36,23,18,26,28,17,29,18,16,23,23,24
,8,72,40,36,22,18,26,28,16,29,18,17,23,23,24
,9,72,41,35,21,18,26,27,15,28,18,19,23,25,24
,10,73,42,34,20,17,26,27,17,28,19,21,23,29,24
,11,72,42,34,20,17,26,28,18,28,19,20,24,32,24
,12,72,42,34,20,18,26,28,18,28,20,20,24,34,23
,13,71,42,33,20,18,26,27,16,28,17,16,24,35,24
,14,72,42,33,19,18,26,27,15,28,17,20,24,36,24
,15,72,42,32,19,18,26,27,14,27,17,17,24,35,24
,16,72,43,32,19,18,26,27,13,27,17,16,24,37,24
,17,72,41,32,19,17,25,26,13,27,17,15,24,38,24
,18,73,39,32,19,18,25,27,13,27,16,16,23,40,24
,19,72,39,33,19,18,25,26,13,27,16,17,23,40,24
,20,72,39,33,19,18,25,26,13,27,16,14,23,40,24
,21,72,39,32,19,18,25,26,13,27,16,12,23,39,24
,22,72,40,32,18,17,25,26,13,27,16,12,24,38,24
,23,73,40,31,18,18,25,26,13,27,17,12,24,38,24
